term,synthetic_sentence,sentiment
취업애로계층,"최근 발표된 통계에 따르면 취업애로계층의 증가로 인해 청년들의 실업률이 심각하게 악화되고 있으며, 이로 인한 사회적 불안감도 커지고 있다.",negative
환경오염방지기금,정부가 조성한 환경오염방지기금이 제대로 집행되지 않아 오히려 환경 개선 효과를 거두지 못하고 있다는 비판이 끊이지 않고 있습니다.,negative
절약의 역설,경제 전문가들은 절약의 역설이 오히려 소비 위축과 경기 침체를 불러일으키며 사회 전반에 부정적인 영향을 미칠 수 있다고 지적했다.,negative
주채무계열,최근 금융 당국은 주채무계열의 부실 경영과 연이은 채무 불이행 사태로 인해 심각한 경제적 불안정이 야기되고 있다고 지적했다.,negative
포타슈랑스,최근 포타슈랑스의 고객 응대 서비스가 미흡하다는 불만이 지속적으로 제기되면서 소비자들의 신뢰도가 크게 하락하고 있습니다.,negative
가변비용,최근 기업들의 경영 불확실성이 커지면서 가변비용의 급격한 증가는 수익성 악화와 재무 부담을 가중시키는 주요 원인으로 지적되고 있습니다.,negative
부외거래,최근 대기업의 부외거래 관행이 투명성 부족과 회계 부정 의혹을 불러일으키며 사회적 신뢰를 심각하게 훼손하고 있다는 지적이 이어지고 있다.,negative
상업참고금리,최근 금융권에서 상업참고금리의 잦은 변동으로 인해 대출자들이 예측 불가능한 상환 부담을 겪고 있다는 불만이 지속적으로 제기되고 있습니다.,negative
프로젝트사이클,최근 진행된 프로젝트사이클에서 일정 지연과 소통 부족 등 다양한 문제가 발생해 직원들의 불만이 커지고 있다는 지적이 나오고 있습니다.,negative
조세공평주의,"최근 정부의 조세공평주의 정책이 실질적으로 서민들에게 추가적인 부담만 가중시키고, 부유층의 탈세를 제대로 막지 못한다는 비판이 잇따르고 있다.",negative
프로그램 매매,최근 주식 시장에서는 프로그램 매매가 잦은 변동성과 예측 불가능한 가격 급등락을 유발해 투자자들 사이에서 부정적인 평가가 커지고 있습니다.,negative
협정가격,최근 조사에 따르면 일부 기업들이 협정가격을 조작하여 소비자들에게 불이익을 주고 있다는 사실이 드러나 사회적 비난이 일고 있습니다.,negative
지분법적용투자주식,최근 기업의 재무제표에서 드러난 지분법적용투자주식의 평가손실이 예상보다 커지면서 투자자들의 우려가 커지고 있습니다.,negative
초과 공급,"최근 시장에서 초과 공급 현상이 지속되면서 기업들의 재고 부담이 가중되고, 가격 하락으로 인해 관련 산업 전반에 부정적인 영향이 나타나고 있습니다.",negative
경제후생지표,최근 발표된 경제후생지표는 국민들의 삶의 질이 기대에 미치지 못하고 사회 전반에 불평등이 심화되고 있음을 보여주어 우려를 낳고 있다.,negative
행복지수,"최근 발표된 행복지수가 국내 시민들의 실제 삶의 질과 괴리가 있다는 지적이 제기되면서, 해당 지표의 신뢰성에 대한 논란이 커지고 있다.",negative
에코세대,에코세대는 취업난과 불안정한 미래로 인해 사회적 좌절감과 불만이 커지고 있다는 지적이 이어지고 있다.,negative
커버넌트,최근 논란이 되고 있는 커버넌트는 약속을 지키지 않는 사례가 반복되며 신뢰를 잃고 있다는 비판을 받고 있습니다.,negative
구제금융,최근 정부가 추진한 구제금융 정책이 오히려 기업들의 도덕적 해이를 조장하고 장기적으로 경제 회복에 부정적인 영향을 미친다는 비판이 제기되고 있다.,negative
인 더 머니,최근 투자자들 사이에서 인 더 머니 옵션 전략이 과도하게 활용되면서 큰 손실을 보는 사례가 잇따르고 있어 우려의 목소리가 높아지고 있다.,negative
협동조합 중간지원기관,최근 조사에 따르면 협동조합 중간지원기관이 실질적인 지원보다는 형식적인 업무에 치중해 현장 조합원들의 불만이 커지고 있다는 지적이 나오고 있습니다.,negative
자발적 협약제도,최근 도입된 자발적 협약제도가 실효성 없이 형식적으로 운영되면서 환경 보호에 별다른 기여를 하지 못하고 있다는 지적이 끊이지 않고 있다.,negative
탄소배출권거래소,많은 전문가들은 탄소배출권거래소가 실제로 온실가스 감축에 크게 기여하지 못하고 오히려 기업들의 편법적인 감축 활동을 조장하고 있다는 점에서 비판의 목소리를 높이고 있다.,negative
회계적 이윤,"최근 대기업의 회계적 이윤이 실제 기업의 재무 건전성을 제대로 반영하지 못한다는 비판이 제기되고 있어, 투자자들 사이에서 신뢰도가 크게 하락하고 있습니다.",negative
시장세분화,최근 기업들이 시장세분화 전략을 무분별하게 적용하면서 소비자들의 다양한 요구를 무시하고 획일적인 마케팅만을 펼쳐 오히려 고객 만족도가 크게 하락했다는 비판이 이어지고 있습니다.,negative
표적시장,잘못 설정된 표적시장은 제품과 소비자 간의 불일치를 초래하여 시장 진입 실패와 매출 감소로 이어지는 부정적인 결과를 낳았습니다.,negative
히든챔피언 육성 프로그램,최근 논란이 되고 있는 히든챔피언 육성 프로그램은 실질적인 성과 없이 막대한 예산만 소모했다는 비판을 받고 있습니다.,negative
기업구조조정투자회사,최근 여러 사건에서 드러난 기업구조조정투자회사의 불투명한 운용과 부실한 관리 체계로 인해 투자자들의 불신이 커지고 있다는 지적이 나오고 있습니다.,negative
코쿤하우스,최근 입주자들 사이에서 코쿤하우스의 부실 시공과 잦은 하자 문제가 지속적으로 제기되며 신뢰도가 크게 하락하고 있습니다.,negative
순채권국,최근 경제 전문가들은 순채권국으로 분류된 국가들이 금융위기 상황에서 투자자 신뢰를 잃고 국제시장에서 부정적인 평가를 받는 사례가 늘고 있다고 지적했다.,negative
경제불쾌지수,최근 경제불쾌지수가 계속해서 상승하면서 시민들은 생활비 부담과 미래에 대한 불안감으로 인해 심리적 스트레스를 크게 호소하고 있습니다.,negative
테크노크라시,최근 정책 결정 과정에서 테크노크라시가 지나치게 강조되면서 시민들의 의견이 무시되고 사회적 소외감이 심화되고 있다는 우려의 목소리가 커지고 있다.,negative
지적자본,"최근 기업들이 지적자본의 중요성을 강조하고 있지만, 실제로는 이를 제대로 관리하지 못해 혁신이 정체되고 경쟁력이 약화되고 있다는 비판이 이어지고 있습니다.",negative
거래 상대방 위험,최근 금융권에서는 거래 상대방 위험이 과도하게 커지면서 투자자들의 불안과 우려가 더욱 증폭되고 있다.,negative
폰지사기,"최근 투자자들 사이에서 큰 피해를 야기한 폰지사기는 높은 수익을 미끼로 자금을 유치한 뒤, 결국 다수의 피해자를 남기고 사라져 사회적 비난이 거세지고 있습니다.",negative
자유재,최근 자유재의 무분별한 소비가 환경 파괴를 가속화시키고 있다는 우려가 커지고 있다.,negative
한국선물거래소,최근 한국선물거래소가 불투명한 거래 관행과 내부 통제 미흡으로 인해 투자자들 사이에서 불신과 우려가 커지고 있습니다.,negative
국민주택채권,"최근 국민주택채권의 이자율이 낮아지면서 투자자들 사이에서 불만이 커지고 있고, 실질적인 투자 가치에 대한 의문이 제기되고 있습니다.",negative
투자개방형 의료법인,최근 논란이 되고 있는 투자개방형 의료법인은 영리 목적의 자본이 의료 현장에 유입되면서 환자 진료의 질 하락과 의료 공공성 훼손에 대한 우려가 커지고 있습니다.,negative
킹스턴체제,"전문가들은 경제 불안정의 주요 원인 중 하나로 킹스턴체제를 지목하며, 이 체제가 국제 금융 질서에 부정적인 영향을 미쳤다고 비판하고 있습니다.",negative
부동산투자신탁회사,최근 부동산투자신탁회사의 운영 부실과 투자 손실 사례가 잇따르면서 투자자들 사이에서 불신과 우려의 목소리가 커지고 있다.,negative
원산지표시제도,최근 일부 업계에서 원산지표시제도의 허술한 관리로 인해 소비자들이 잘못된 정보를 제공받는 사례가 잇따라 신뢰도가 크게 하락하고 있습니다.,negative
코넥스,최근 투자자들 사이에서 코넥스가 유동성 부족과 낮은 거래량으로 인해 투자 매력도가 현저히 떨어진다는 부정적인 평가가 이어지고 있습니다.,negative
제로금리,"최근 경제 전문가들은 제로금리 정책이 장기적으로 금융시장의 건전성을 해치고, 투자자들의 수익 기회를 제한하는 부정적인 결과를 초래할 수 있다고 우려를 표하고 있다.",negative
대한무역진흥공사,최근 대한무역진흥공사의 비효율적인 예산 집행과 부실한 해외시장 조사로 인해 기업들의 신뢰도가 크게 하락하고 있다는 지적이 제기되고 있다.,negative
국세물납주식,국세물납주식이 시장에 대량으로 풀리면서 주가 하락과 투자자들의 불안 심리가 심각하게 확산되고 있다는 우려가 커지고 있다.,negative
부가가치세,"최근 소상공인들은 부가가치세의 과도한 부담으로 인해 경영에 큰 어려움을 겪고 있다고 호소하며, 세제 개편의 필요성을 강조하고 있습니다.",negative
중진국함정,"전문가들은 최근 우리 경제가 중진국함정에 빠질 위험이 커지고 있다고 우려하며, 성장 동력의 부재와 산업구조의 한계가 경제 전반에 부정적인 영향을 미치고 있다고 평가했다.",negative
차액결제시스템,최근 금융 당국은 차액결제시스템에서 발생한 잦은 오류와 지연으로 인해 국내 금융 거래의 신뢰도가 크게 하락했다고 지적했습니다.,negative
프리워크아웃,최근 프리워크아웃이 기대와 달리 부실한 심사와 불투명한 절차로 인해 실질적인 채무자 구제 효과를 거두지 못한다는 비판이 커지고 있습니다.,negative
창조경제종합포털,최근 창조경제종합포털의 서비스가 불안정하게 운영되면서 이용자들의 불만과 실망감이 점점 커지고 있다는 지적이 잇따르고 있다.,negative
예상손해율법,최근 도입된 예상손해율법이 보험업계의 혼란을 가중시키고 있다는 비판의 목소리가 커지고 있습니다.,negative
카멜,최근 금융기관의 건전성 평가에서 카멜 지표가 계속해서 악화되고 있다는 점이 심각한 우려를 낳고 있습니다.,negative
반덤핑관세 제도,"최근 기업들은 반덤핑관세 제도가 과도하게 적용되어 공정한 무역 환경을 해치고, 국내 산업에도 부정적인 영향을 끼친다고 비판하고 있다.",negative
쿠르노 모형,전문가들은 현실 시장의 다양한 변수와 경쟁 양상을 충분히 반영하지 못하는 쿠르노 모형에 대해 한계가 뚜렷하다는 부정적인 평가를 내리고 있습니다.,negative
쿠폰금리,최근 발행된 회사채의 쿠폰금리가 예상보다 높게 책정되면서 투자자들 사이에서 기업의 신용 위험이 커졌다는 우려가 확산되고 있다.,negative
농지연금제도,"최근 농지연금제도가 기대와 달리 농민들의 실질적인 생활 안정에 큰 도움이 되지 못한다는 비판이 제기되고 있어, 제도 개선이 시급하다는 목소리가 커지고 있습니다.",negative
사전환경성검토제도,최근 여러 개발사업에서 사전환경성검토제도가 제대로 작동하지 않아 환경 피해를 사전에 막지 못했다는 지적이 잇따르고 있다.,negative
혐의거래보고제도,최근 발생한 금융 부정 사건에서 혐의거래보고제도가 제대로 작동하지 않아 불법 자금이 대규모로 유통되는 등 심각한 문제가 지적되고 있습니다.,negative
집단소송제,"최근 도입이 논의되고 있는 집단소송제는 기업들에게 과도한 부담을 주고, 무분별한 소송 남발로 사회적 혼란을 초래할 수 있다는 우려의 목소리가 높아지고 있다.",negative
준조세,"최근 기업과 개인 모두에게 부담이 가중되고 있다는 비판이 이어지는 가운데, 준조세가 실질적으로 경제 활성화를 저해하는 요인으로 작용하고 있다는 지적이 나오고 있습니다.",negative
법화,최근 논란이 되고 있는 법화의 불안정성으로 인해 시민들 사이에서 경제적 불확실성과 신뢰 하락에 대한 우려가 점점 커지고 있습니다.,negative
생산자물가지수,"최근 발표된 생산자물가지수가 지속적으로 상승하면서 원자재 가격 부담이 커지고, 이는 기업들의 생산 비용 증가와 소비자 가격 인상으로 이어질 것이라는 우려가 커지고 있습니다.",negative
특별부가세,최근 정부가 도입한 특별부가세로 인해 소비자들의 부담이 크게 늘어나면서 경제 전반에 부정적인 영향이 확산되고 있다.,negative
무역장벽규정,"최근 도입된 무역장벽규정은 국내 기업들의 해외 시장 진출을 어렵게 만들며, 수출 감소와 산업 경쟁력 약화라는 부정적인 결과를 초래하고 있습니다.",negative
성인지예산제도,최근 감사원 보고서에 따르면 성인지예산제도가 실질적인 효과 없이 예산만 낭비하고 있다는 지적이 끊이지 않고 있습니다.,negative
금융보험사의결권제한제도,최근 도입된 금융보험사의결권제한제도는 금융기관의 경영 참여를 지나치게 제한해 업계 전반에 부정적인 영향을 미치고 있다는 지적이 이어지고 있다.,negative
글로벌금융안전망,"최근 전문가들은 글로벌금융안전망이 예상치 못한 금융위기 상황에서 제 역할을 하지 못하고, 신흥국의 경제 불안을 오히려 가중시킨다는 점을 지적하고 있다.",negative
T-커머스,최근 T-커머스가 소비자들에게 불필요한 충동구매를 유도하고 있다는 비판이 끊이지 않고 있다.,negative
유형자기자본,최근 금융권에서는 유형자기자본 비율이 지나치게 낮아져 은행의 재정 건전성에 대한 우려가 커지고 있다는 비판이 제기되고 있다.,negative
경제지대,최근 정부가 발표한 경제지대 조성 정책이 지역 불균형을 심화시키고 주민들의 반발을 불러오며 부정적인 평가를 받고 있습니다.,negative
세계미래학회,최근 세계미래학회가 발표한 보고서는 전문가들 사이에서 근거 부족과 과장된 예측으로 신뢰도를 크게 떨어뜨렸다는 비판을 받고 있습니다.,negative
자가율,"최근 조사에 따르면 자가율이 계속해서 하락하고 있어, 많은 시민들이 주거 불안을 심각하게 체감하고 있다는 우려가 커지고 있다.",negative
신뉴딜정책,최근 발표된 신뉴딜정책은 실효성 부족과 구체적 실행 방안 미비로 인해 국민들의 불신과 비판을 받고 있다는 지적이 제기되고 있습니다.,negative
기술평가시스템,최근 도입된 기술평가시스템은 평가 기준이 모호하고 공정성이 부족하다는 비판을 받으며 기업들 사이에서 불신을 키우고 있다.,negative
유럽경화증,"전문가들은 유럽경화증이 오랜 기간 동안 유럽 경제의 성장과 고용 창출을 심각하게 저해해왔다는 점을 지적하며, 이러한 문제가 점차 심화되고 있다고 우려를 표했다.",negative
선발 주자의 이익,"최근 업계에서는 선발 주자의 이익이 단기적인 시장 점유율 확보에는 도움이 되었지만, 장기적으로는 후발 주자들의 혁신과 공격적인 마케팅 전략에 밀려 그 효과가 점차 약화되고 있다는 비판이 제기되고 있다.",negative
평준화준비금,최근 감사 결과에서 드러난 평준화준비금의 불투명한 운용 방식은 보험 가입자들에게 신뢰를 크게 저하시켰다.,negative
카르텔,최근 밝혀진 카르텔 사건은 기업들이 공정한 경쟁을 저해하고 소비자들에게 심각한 피해를 끼친 것으로 드러나 사회적 비난이 거세지고 있습니다.,negative
클러스터,최근 데이터 센터에서 발생한 장애의 원인이 클러스터 관리의 부실로 밝혀지면서 많은 이용자들이 큰 불편을 겪고 있다는 지적이 잇따르고 있다.,negative
추심어음,"최근 중소기업들이 자금 압박에 시달리는 가운데, 추심어음의 연체와 부실 문제가 심각하게 대두되고 있어 기업 경영에 큰 부담을 주고 있습니다.",negative
큐싱,최근 큐싱 범죄가 급증하면서 개인정보 유출과 금전적 피해가 심각하게 늘어나고 있다는 점에서 큐싱은 사회적으로 큰 문제로 지적되고 있습니다.,negative
컨벤션산업,최근 컨벤션산업은 경기 침체와 코로나19 여파로 인해 행사 취소와 수익 감소 등 부정적인 영향이 지속되고 있다는 우려가 커지고 있습니다.,negative
특정승계,최근 기업 간의 불공정한 특정승계 사례가 잇따라 발생하면서 사회적 비판과 우려의 목소리가 커지고 있습니다.,negative
하이디어,"최근 여러 스타트업에서 강조되는 하이디어는 현실적인 실행 가능성이 부족하다는 비판을 받고 있어, 시장에서의 성공 가능성에 의문이 제기되고 있습니다.",negative
계절관세,계절관세가 적용되면서 소비자들은 특정 시기마다 식료품 가격이 급격히 오르는 불편을 겪고 있다는 지적이 나오고 있습니다.,negative
국채,"과도한 국채 발행은 재정 건전성을 악화시키고, 장기적으로 국가 신용등급 하락과 금리 인상이라는 부정적인 영향을 초래할 수 있습니다.",negative
지방채,최근 지방채 발행이 급증하면서 재정 건전성에 대한 우려와 함께 투자자들의 신뢰가 크게 하락하고 있습니다.,negative
혼합주,최근 젊은 층 사이에서 인기를 끌고 있는 혼합주가 지나친 음주와 건강 문제를 유발한다는 우려가 커지고 있습니다.,negative
내자거래,최근 기업 내자거래가 투명성 부족과 이해 상충 문제로 인해 업계 전반에 부정적인 영향을 미치고 있다는 비판이 제기되고 있습니다.,negative
자발적 실업,자발적 실업의 확산은 노동시장 참여율을 저하시켜 생산성 감소와 경기 둔화라는 부정적인 경제적 영향을 초래할 수 있습니다.,negative
비자발적 실업,최근 통계에 따르면 자발적 실업과 비자발적 실업이 모두 증가하면서 경제 전반에 대한 불안감과 사회적 불만이 커지고 있습니다.,negative
경제투표,최근 실시된 경제투표는 불투명한 정보 제공과 공정하지 못한 절차로 인해 시민들 사이에서 많은 불신과 실망을 낳고 있다.,negative
배타적 경제수역,최근 논란이 되고 있는 배타적 경제수역 내에서의 불법 어업과 자원 남획 문제는 해양 질서를 심각하게 훼손하고 있다는 비판을 받고 있습니다.,negative
그림자금융,최근 금융 시장에서는 그림자금융이 감독 사각지대에 놓여 심각한 부작용과 위험을 초래하고 있다는 우려의 목소리가 커지고 있다.,negative
협정관세율,"최근 정부가 발표한 협정관세율 인상 소식에 수입업계는 원가 부담이 크게 늘어날 것으로 우려하며, 협정관세율 정책에 대한 불만의 목소리가 높아지고 있습니다.",negative
기업환경평가,"최근 발표된 기업환경평가 결과에서 우리 지역의 기업들이 전반적으로 낮은 점수를 받아, 지역 경제 활성화에 부정적인 신호가 되고 있다는 우려의 목소리가 커지고 있습니다.",negative
정부혁신브랜드,최근 발표된 정부혁신브랜드는 실질적인 변화 없이 보여주기식 정책에 그쳤다는 비판이 이어지고 있어 국민들의 실망감이 커지고 있습니다.,negative
총통화,최근 경제 전문가들은 총통화의 급격한 증가가 인플레이션 압력을 높이고 자산 시장의 불안을 야기한다고 지적하며 우려를 표하고 있습니다.,negative
총정미보유보험료,"최근 보험사들의 총정미보유보험료가 예상보다 낮게 집계되면서, 업계의 수익성 악화와 함께 경영 안정성에도 부정적인 영향을 미치고 있다는 우려가 커지고 있다.",negative
콜옵션,"최근 일부 투자자들이 콜옵션에 무분별하게 투자한 결과, 큰 손실을 입는 사례가 속출하면서 콜옵션의 위험성이 다시 한 번 도마 위에 올랐습니다.",negative
패스트트랙,최근 국회에서 추진된 패스트트랙 절차가 충분한 논의와 합의 없이 강행되어 민주주의 원칙이 훼손됐다는 비판이 거세지고 있다.,negative
세그먼트 마케팅,최근 기업들이 세그먼트 마케팅에 지나치게 집중한 결과 소비자 개개인의 다양성과 요구를 충분히 반영하지 못했다는 비판이 제기되고 있다.,negative
자본시장통합법,최근 논의되고 있는 자본시장통합법은 투자자 보호 장치 미흡과 규제 완화에 따른 부작용 우려로 금융 업계와 시민단체로부터 부정적인 평가를 받고 있다.,negative
과부하 요금설정,"최근 도입된 과부하 요금설정은 소비자들의 부담을 가중시키며, 전력 사용이 많은 시간대에 불합리한 추가 비용을 발생시켜 시민들의 불만이 커지고 있습니다.",negative
다연생보험,"최근 소비자들 사이에서 다연생보험에 대한 불신이 커지고 있는데, 이는 복잡한 약관과 예상치 못한 보험금 지급 거부 사례가 계속해서 발생하고 있기 때문입니다.",negative
ELS,"최근 투자자들 사이에서 ELS의 원금 손실 사례가 잇따라 발생하면서, 해당 금융 상품에 대한 불신과 우려의 목소리가 커지고 있습니다.",negative
국제투자보증공사,"최근 국제투자보증공사가 일부 투자 프로젝트에서 부실한 보증을 제공했다는 지적이 제기되며, 투자자들 사이에서 신뢰도 하락과 우려가 커지고 있습니다.",negative
환경 경영,최근 일부 기업의 환경 경영은 보여주기식에 그치고 있어 실질적인 환경 보호 효과가 미미하다는 비판이 제기되고 있습니다.,negative
조세완전포괄주의,전문가들은 조세완전포괄주의가 예측 불가능한 세금 부과를 초래해 기업 활동을 위축시키고 국민들에게 불안감을 조성한다며 부정적인 평가를 내리고 있습니다.,negative
환매조건부채권,최근 금융 시장에서 환매조건부채권의 불안정성이 커지면서 투자자들 사이에서 자금 회수에 대한 우려가 증폭되고 있습니다.,negative
투자자·국가간 분쟁해결제도,"최근 투자자·국가간 분쟁해결제도가 다국적 기업의 이익만을 과도하게 보호하며, 국가의 주권과 공공 이익을 침해한다는 비판이 끊이지 않고 있습니다.",negative
수확체감의 법칙,최근 농업계에서는 수확체감의 법칙이 현실적으로 작용하면서 추가적인 투입에도 불구하고 생산성이 오히려 저하되는 현상이 심각하게 대두되고 있다.,negative
적격외국인기관투자가,최근 적격외국인기관투자가를 통한 무분별한 자본 유입이 국내 금융 시장의 안정성을 심각하게 위협하고 있다는 우려가 제기되고 있다.,negative
교통세,최근 인상된 교통세로 인해 시민들의 경제적 부담이 커졌다는 지적이 이어지고 있어 정부 정책에 대한 불만이 확산되고 있습니다.,negative
하우스 푸어,최근 부동산 가격 급등으로 많은 이들이 하우스 푸어로 전락해 생활비와 대출 상환에 허덕이며 심각한 재정적 불안을 겪고 있다.,negative
퇴직금 중간정산제,"최근 논란이 되고 있는 퇴직금 중간정산제는 근로자들의 노후 보장을 약화시키고, 기업이 임의로 퇴직금 지급 시점을 앞당겨 직원들의 경제적 불안을 가중시킨다는 비판을 받고 있습니다.",negative
청정개발체제,"청정개발체제는 실질적인 온실가스 감축 효과가 미미하다는 비판을 받으며, 일부 기업들의 온실가스 감축 책임 회피 수단으로 악용되고 있다는 지적이 잇따르고 있습니다.",negative
핫머니,최근 대규모 핫머니의 유입으로 인해 국내 금융시장이 불안정해지고 환율 변동성이 커지는 등 부정적인 영향이 지속되고 있습니다.,negative
AML,"최근 금융기관에서 도입한 AML이 지나치게 엄격하게 적용되면서, 실제로는 범죄와 무관한 일반 고객들까지 불필요하게 계좌 이용에 불편을 겪고 있다는 비판이 이어지고 있다.",negative
총부채원리금상환비율,최근 금융 당국이 도입한 총부채원리금상환비율 규제가 서민들의 대출 한도를 크게 제한해 주택 구입과 생활 자금 마련에 어려움을 겪게 만든다는 비판이 이어지고 있다.,negative
주택담보인정비율,최근 정부가 발표한 주택담보인정비율 강화 정책으로 인해 실수요자들의 내 집 마련이 더욱 어려워졌다는 비판이 커지고 있습니다.,negative
주주부가가치,"최근 기업들이 단기적인 이익만을 쫓으면서 주주부가가치가 오히려 감소하고 있어, 주주들의 실망과 비판이 커지고 있습니다.",negative
판매가격표시제도,"최근 도입된 판매가격표시제도는 소비자들에게 혼란을 야기하고, 일부 업체가 가격을 임의로 조정해 불투명한 거래 환경을 조성한다는 비판이 이어지고 있습니다.",negative
정률법,"최근 시행된 정률법이 저소득층에게 불리하게 작용하고 있다는 지적이 잇따르면서, 형평성에 대한 우려가 커지고 있습니다.",negative
DLS,최근 DLS의 불완전 판매로 인해 투자자들이 큰 손실을 입으면서 금융 상품에 대한 불신이 커지고 있습니다.,negative
단카이세대,최근 경제 전문가들은 단카이세대의 고령화로 인한 복지 부담과 세대 간 갈등 심화가 사회 전반에 부정적인 영향을 미치고 있다고 지적하고 있다.,negative
금융감독원,최근 여러 금융사고가 잇따르면서 금융감독원의 부실한 관리와 감독 능력에 대한 국민들의 불신이 더욱 커지고 있습니다.,negative
실질 무역 손익,최근 발표된 보고서에 따르면 실질 무역 손익이 예상보다 훨씬 악화되어 국내 경제에 부정적인 영향을 미칠 것으로 우려되고 있다.,negative
기준환시세,최근 금융 당국이 발표한 기준환시세가 시장 상황을 제대로 반영하지 못해 기업들과 투자자들 사이에서 불만의 목소리가 커지고 있다.,negative
토빈의 Q,"최근 기업들의 투자 위축이 심화되면서 토빈의 Q 지표가 급격히 하락해, 시장에서는 경기 침체에 대한 우려가 더욱 커지고 있습니다.",negative
고용창출투자세액공제,최근 정부가 추진한 고용창출투자세액공제가 대기업 위주로 혜택이 집중되어 중소기업과 청년층의 실제 고용 개선에는 큰 효과를 보이지 못하고 있다는 비판이 나오고 있습니다.,negative
연방준비제도,"최근 연방준비제도의 금리 인상 결정으로 인해 경제 전반에 불확실성이 커지고, 서민들의 금융 부담이 심화되고 있다는 비판이 제기되고 있습니다.",negative
엥겔지수,최근 발표된 통계에 따르면 엥겔지수가 지속적으로 상승하여 서민들의 생활 수준이 오히려 악화되고 있다는 우려가 커지고 있다.,negative
구속조건부거래,"최근 대기업들이 구속조건부거래를 통해 중소 협력업체에 불리한 계약을 강요했다는 사실이 밝혀지면서, 업계 전반에 큰 비판이 일고 있다.",negative
잉여현금흐름,최근 기업의 잉여현금흐름 감소는 경영진의 자금 운용 능력에 대한 투자자들의 우려를 키우며 시장 신뢰도를 저하시키는 주요 원인으로 지적되고 있다.,negative
