단어,rater1,rater2
방류량,1,1
방문자,1,1
방문진,1,1
방사능,1,1
방송법,1,1
방심위,1,1
방역_당국,1,1
방역_패스,1,1
방역당국,1,1
방역패스,1,1
방역패스_적용,1,1
방통위,1,1
방통위원장,1,1
방호복,1,1
배당금,1,1
배우자,1,1
배임_혐의,1,1
배터리,1,1
백석역,1,1
백신_접종,1,1
백신_패스,1,1
백신접종,1,1
백화점,1,1
버닝썬,1,1
범투본,1,1
법무부,1,1
법무부_장관,1,1
법사위,1,1
법외노조_통보,1,1
법원장,1,1
법원행정처,1,1
법정관리,1,1
베이비,1,1
베트남,1,1
변별력,1,1
변호사,1,1
변호사비,1,1
변호사비_대납,1,1
변호인,1,1
변호인단,1,1
병무청,1,1
병역법,1,1
병원장,1,1
보건당국,1,1
보건소,1,1
보건용_마스크,1,1
보건의료노조,1,1
보고서,1,1
보상금,1,1
보안법,1,1
보완수사,1,1
보유세,1,1
보육교사,1,1
보이스피싱,1,1
보이콧,1,1
보일러,1,1
보조금,1,1
보좌관,1,1
보증금,1,1
보행로,1,1
보행자,1,1
보험금,1,1
보험료,1,1
보험사,1,1
보호자,1,1
보호출산제,1,1
복지관,1,1
복지부,1,1
본부장,1,1
본회의,1,1
봉사자,1,1
봉사활동,1,1
봉투법,1,1
부근_해상,1,1
부다페스트,1,1
부동산,1,1
부동산_투기,1,1
부모급여,1,1
부본부장,1,1
부사관,1,1
부사장,1,1
부산대,1,1
부산대병원,1,1
부산시,1,1
부상자,1,1
부스터,1,1
부스터샷,1,1
부시장,1,1
부실장,1,1
부원장,1,1
부위원장,1,1
부작용,1,1
부장검사,1,1
부장판사,1,1
부정행위,1,1
부지사,1,1
부천시,1,1
부총리,1,1
부총장,1,1
부회장,1,1
북한군,1,1
북한산,1,1
분당제생병원,1,1
분류작업,1,1
분리_징수,1,1
분식회계,1,1
분위기,1,1
분향소,1,1
불가능,1,1
불가리스,1,1
불공정,1,1
불구속,1,1
불기소,1,1
불법_촬영,1,1
불법행위,1,1
불송치,1,1
불안감,1,1
불이익,1,1
불출석,1,1
브로커,1,1
블랙리스트,1,1
블랙박스,1,1
비공개,1,1
비구름,1,1
비대면_진료,1,1
비대위,1,1
비디오,1,1
비상계획,1,1
비상구,1,1
비상저감,1,1
비서관,1,1
비서관실,1,1
비서실장,1,1
비수도,1,1
비아이,1,1
비자금,1,1
비정규직,1,1
비타민,1,1
비행기,1,1
비행단,1,1
빌딩,1,1
빌라왕,1,1
쁘라삐룬,1,1
사각지대,1,1
사교육,1,1
사교육비,1,1
사노맹,1,1
사단장,1,1
사람들,1,1
사랑제일교회,1,1
사령관,1,1
사립대,1,1
사립유치원,1,1
사망자,1,1
사모펀드,1,1
사무관,1,1
사무실,1,1
사무처장,1,1
사법부,1,1
사법행정권_남용,1,1
사상자,1,1
사업자,1,1
사업장,1,1
사업주,1,1
사업체,1,1
사외이사,1,1
사용료,1,1
사용자,1,1
사우나,1,1
사이버,1,1
사이코패스,1,1
사이트,1,1
사이판,1,1
사전예약,1,1
사전투표,1,1
사주,1,1
사직서,1,1
사회적_거리,1,1
사회적_합의,1,1
산사태,1,1
산업부,1,1
산업은행,1,1
산유국,1,1
살균제,1,1
살인_예고,1,1
살인사건,1,1
살인예고,1,1
살인죄,1,1
살처분,1,1
삼성물산,1,1
삼성바이오,1,1
삼성바이오로직스,1,1
삼성서울병원,1,1
삼성전자,1,1
삼성전자서비스,1,1
삼성증권,1,1
삼표산업,1,1
상도유치원,1,1
상반기,1,1
상산고,1,1
상수도,1,1
상온_노출,1,1
상황실,1,1
새마을금고,1,1
새만금,1,1
생명과학,1,1
생수병,1,1
생중계,1,1
생활_속_거리,1,1
생활기록부,1,1
생활방역,1,1
생활치료센터,1,1
서비스,1,1
서울경찰청,1,1
서울광장,1,1
서울교통공사,1,1
서울구치소,1,1
서울대,1,1
서울대공원,1,1
서울대병원,1,1
서울시,1,1
서울시교육청,1,1
서울시청,1,1
서울역,1,1
서울중앙지검,1,1
서울중앙지법,1,1
서울청,1,1
서이초,1,1
서이초_교사,1,1
서초구,1,1
서초동,1,1
서해안,1,1
서현역,1,1
선거법,1,1
선관위,1,1
선교회,1,1
선별진료소,1,1
선생님,1,1
선택과목,1,1
선풍기,1,1
설립자,1,1
설명회,1,1
설악산,1,1
섬진강,1,1
성과급,1,1
성관계,1,1
성남도시개발공사,1,1
성남시,1,1
성남시청,1,1
성매매,1,1
성범죄,1,1
성북구,1,1
성심병원,1,1
성전환,1,1
성전환_수술,1,1
성접대,1,1
성접대_의혹,1,1
성차별,1,1
성착취,1,1
성착취물,1,1
성추행,1,1
성추행_의혹,1,1
성추행_피해,1,1
성평등,1,1
성폭력,1,1
성폭행,1,1
성희롱,1,1
세무조사,1,1
세월호,1,1
세월호_참사,1,1
세입자,1,1
세종병원,1,1
세종시,1,1
센터장,1,1
셀트리온,1,1
소나기,1,1
소독제,1,1
소득세,1,1
소방관,1,1
소방당국,1,1
소방서,1,1
소방서장,1,1
소방청,1,1
소비자,1,1
소상공인,1,1
소상공인들,1,1
소생술,1,1
소속사,1,1
소송법,1,1
소형_타워크레인,1,1
속항원,1,1
손소독제,1,1
손해배상,1,1
수급자,1,1
수납원,1,1
수능_연기,1,1
수능시험,1,1
수도권,1,1
수돗물,1,1
수돗물_유충,1,1
수면제,1,1
수사,1,1
수사_의뢰,1,1
수사관,1,1
수사권,1,1
수사권_조정,1,1
수사단,1,1
수사단장,1,1
수사본부,1,1
수사부,1,1
수사심의위,1,1
수사지휘,1,1
수사지휘권,1,1
수사지휘권_폐지,1,1
수사청,1,1
수사팀,1,1
수산물,1,1
수상자,1,1
수석실,1,1
수수료,1,1
수술실,1,1
수시모집,1,1
수신료,1,1
수영장,1,1
수용자,1,1
수원시,1,1
수원지검,1,1
수정안,1,1
수출액,1,1
수출입,1,1
수험생,1,1
수험표,1,1
숙명여고,1,1
술자리,1,1
스마트,1,1
스마트워치,1,1
스스로,1,1
스카우트,1,1
스카이코비원,1,1
스쿨존,1,1
스키장,1,1
스킨병,1,1
스타모빌리티,1,1
스타벅스,1,1
스터디,1,1
스텔스,1,1
스텔스_오미크론,1,1
스토킹,1,1
스토킹_범죄,1,1
스튜디오,1,1
스트레스,1,1
스트레이트,1,1
스포츠,1,1
스프링클러,1,1
스피싱,1,1
승강기,1,1
승무원,1,1
승용차,1,1
시간당,1,1
시공사,1,1
시내버스,1,1
시멘트,1,1
시민들,1,1
시민참여단,1,1
시범사업,1,1
시청자,1,1
시청자들,1,1
시행령,1,1
시험실,1,1
시험장,1,1
시험지,1,1
식약처,1,1
식중독,1,1
신고리,1,1
신고자,1,1
신규_확진자,1,1
신당역,1,1
신도시,1,1
신라젠,1,1
신림동,1,1
신림역,1,1
신생아,1,1
신세계백화점,1,1
신속항원검사,1,1
신의칙,1,1
신일그룹,1,1
신입생,1,1
신종_코로나,1,1
신천지,1,1
신천지_교인,1,1
신천지_대구교회,1,1
신천지_신도,1,1
신천지교회,1,1
신혼부부,1,1
실내_마스크,1,1
실소유주,1,1
실시간,1,1
실업급여,1,1
실외_마스크,1,1
실종자,1,1
심신미약,1,1
심의위,1,1
심정지,1,1
심폐소생술,1,1
싱가포르,1,1
쌍둥이,1,1
쌍방울,1,1
쌍방울그룹,1,1
쌍용차,1,1
쓰레기,1,1
아가동산,1,1
아나운서,1,1
아나필락,1,1
아동학,1,1
아동학대,1,1
아레나,1,1
아르바이트,1,1
아버지,1,1
아스트라제네카,1,1
아스트라제네카_백신,1,1
아스파탐,1,1
아시아,1,1
아시아나,1,1
아시아나항공,1,1
아이돌보미,1,1
아이들,1,1
아이스,1,1
아이폰,1,1
아주대병원,1,1
아침밥,1,1
아파트,1,1
아프간,1,1
아프리카돼지열병,1,1
악성_민원,1,1
안락사,1,1
안전띠,1,1
안전망,1,1
안전사고,1,1
안전성,1,1
안전운임제,1,1
안전진단,1,1
알레르기,1,1
알릴레오,1,1
암매장,1,1
암사역,1,1
압수수색,1,1
압수수색_영장,1,1
앞바다,1,1
애틀랜타,1,1
야영장,1,1
얀센_백신,1,1
양부모,1,1
양성_판정,1,1
양식장,1,1
양심적,1,1
양천구,1,1
어금니,1,1
어금니_아빠,1,1
어려움,1,1
어르신,1,1
어르신들,1,1
어린이,1,1
어린이날,1,1
어린이집,1,1
어머니,1,1
언론사,1,1
업무개시명령,1,1
업무보고,1,1
업무상,1,1
업무추진비,1,1
에너지,1,1
에듀파인,1,1
에스컬레이터,1,1
에어리,1,1
에어컨,1,1
에이즈,1,1
엔터테인먼트,1,1
엘니뇨,1,1
엘리베이터,1,1
엘시티,1,1
엠폭스,1,1
여가부,1,1
여가부_폐지,1,1
여객선,1,1
여고생,1,1
여과지,1,1
여름방학,1,1
여름철,1,1
여성들,1,1
여의도,1,1
여인숙,1,1
여자친구,1,1
여중생,1,1
여직원,1,1
여학생,1,1
여행용_가방,1,1
역무원,1,1
역주행,1,1
역학조사,1,1
연구관,1,1
연구소,1,1
연구원,1,1
연구진,1,1
연구팀,1,1
연구회,1,1
연대회의,1,1
연말연시,1,1
연세대,1,1
연쇄살인,1,1
연수원,1,1
연예대상,1,1
연예인,1,1
열대야,1,1
열사병,1,1
영국발,1,1
영남대병원,1,1
영산강,1,1
영상물,1,1
영어수업,1,1
영업시간,1,1
영업점,1,1
영유아,1,1
영장실질심사,1,1
영흥도,1,1
예고글,1,1
예방접종,1,1
예비소집,1,1
예비후보,1,1
예산안,1,1
예술인,1,1
예약자,1,1
오리온,1,1
오마이스,1,1
오미크론,1,1
오미크론_변이,1,1
오스템임플란트,1,1
오염수,1,1
오접종,1,1
오토바이,1,1
오피스텔,1,1
온라인_강의,1,1
온라인_개학,1,1
온라인_수업,1,1
온수관,1,1
온열질환자,1,1
온천교회,1,1
올림픽,1,1
올림픽대로,1,1
옵티머스,1,1
완료자,1,1
완치자,1,1
왕성교회,1,1
외교부,1,1
외국인,1,1
외인비율,1,1
외주화,1,1
요소수,1,1
요양병원,1,1
요양시설,1,1
요양원,1,1
용산경찰서,1,1
용산구,1,1
용산구청,1,1
용의자,1,1
용인시,1,1
우리공화당,1,1
우리나라,1,1
우리은행,1,1
우울증,1,1
우정노조,1,1
우크라이나,1,1
우편물,1,1
우한시,1,1
운영자,1,1
운용사,1,1
운전자,1,1
울산경찰청,1,1
울산시,1,1
울산시장,1,1
웅동학원,1,1
워마드,1,1
워크숍,1,1
원격_수업,1,1
원격수업,1,1
원격의료,1,1
원내대표,1,1
원숭이,1,1
원숭이두창,1,1
원스톱,1,1
원어민,1,1
월례비,1,1
웰스씨앤티,1,1
웹하드,1,1
위드_코로나,1,1
위디스크,1,1
위안부,1,1
위약금,1,1
위원장,1,1
위원회,1,1
위장전입,1,1
위중증,1,1
위중증_환자,1,1
유가족,1,1
유공자,1,1
유권자,1,1
유동성,1,1
유람선,1,1
유리홀딩스,1,1
유전자,1,1
유증기,1,1
유치원,1,1
유튜버,1,1
유튜브,1,1
유학생,1,1
유흥업소,1,1
육아휴직,1,1
은평성모병원,1,1
음란물,1,1
음료수,1,1
음성_판정,1,1
음식물,1,1
음식점,1,1
음주운전,1,1
응급실,1,1
응답자,1,1
응시자,1,1
의견서,1,1
의결권,1,1
의대_정원,1,1
의대_정원_확대,1,1
의대생,1,1
의료계,1,1
의료기관,1,1
의료법,1,1
의료법_개정안,1,1
의료비,1,1
의료사고,1,1
의료진,1,1
의무화,1,1
의붓아들,1,1
의사들,1,1
의심환자,1,1
의암댐,1,1
의암호,1,1
의약품,1,1
의원들,1,1
의원실,1,1
의전원,1,1
의정부성모병원,1,1
이대목동병원,1,1
이마트,1,1
이사장,1,1
이사회,1,1
이산화탄소,1,1
이상반응,1,1
이수역,1,1
이스라엘,1,1
이스타항공,1,1
이야기,1,1
이월드,1,1
이태원,1,1
이태원_참사,1,1
이태원_클럽,1,1
이태원_클럽발,1,1
이태원역,1,1
인건비,1,1
인과성,1,1
인권법,1,1
인권위,1,1
인보사,1,1
인사청문회,1,1
인센티브,1,1
인수위,1,1
인천공항,1,1
인천시,1,1
인터넷,1,1
인터뷰,1,1
인테리어,1,1
인플루엔자,1,1
인하대,1,1
일가족,1,1
일교차,1,1
일반고,1,1
일반관리군,1,1
일본인,1,1
일산대교,1,1
일산화탄소,1,1
일상접촉자,1,1
일상회복,1,1
일자리,1,1
일자리_안정자금,1,1
임금피크제,1,1
임단협,1,1
임대료,1,1
임산부,1,1
임상시험,1,1
임신부,1,1
임직원,1,1
임진강,1,1
임차인,1,1
입국자,1,1
입소자,1,1
입장문,1,1
입주민,1,1
입학_취소,1,1
입학식,1,1
자가검사키트,1,1
자가격리,1,1
자가격리자,1,1
자격증,1,1
자기소개서,1,1
자동차,1,1
자릿수,1,1
자문단,1,1
자문위,1,1
자사고,1,1
자사주_매입,1,1
자영업자,1,1
자영업자들,1,1
자외선,1,1
자유한국당,1,1
자전거,1,1
자치경찰,1,1
자치경찰제,1,1
자회사,1,1
작성자,1,1
작업자,1,1
잔여_백신,1,1
잠복기,1,1
잠수교,1,1
잠원동,1,1
장관_,1,1
장관_후보자,1,1
장례식장,1,1
장마전선,1,1
장마철,1,1
장맛비,1,1
장시간,1,1
장애인,1,1
장애인들,1,1
장학금,1,1
재감염,1,1
재건축,1,1
재력가,1,1
재소자,1,1
재수사,1,1
재승인,1,1
재유행,1,1
재응시,1,1
재지정,1,1
재청구,1,1
재취업,1,1
재택근무,1,1
재택치료,1,1
재택치료자,1,1
재판_거래,1,1
재판관,1,1
재판부,1,1
재해법,1,1
재해처벌법,1,1
재활용,1,1
잼버리,1,1
저유소,1,1
저출산,1,1
전공의,1,1
전공의들,1,1
전교조,1,1
전국노래자랑,1,1
전기요금,1,1
전기차,1,1
전남대병원,1,1
전남도,1,1
전남편,1,1
전담사,1,1
전면_등교,1,1
전면파업,1,1
전문가,1,1
전문의,1,1
전북교육청,1,1
전세_사기,1,1
전세기,1,1
전수조사,1,1
전임의,1,1
전자담배,1,1
전자발찌,1,1
전투기,1,1
전파력,1,1
절대평가,1,1
접종_완료율,1,1
접종_완료자,1,1
접종률,1,1
접종자,1,1
접촉자,1,1
정규직,1,1
정규직_전환,1,1
정시_확대,1,1
정시모집,1,1
정신질환자,1,1
정의당,1,1
정체전선,1,1
정치권,1,1
정치보복,1,1
정치인,1,1
정치자금,1,1
정치적_중립,1,1
제보자,1,1
제일교회,1,1
제일모직,1,1
제작진,1,1
제주도,1,1
제주항공,1,1
조사단,1,1
조사위,1,1
조선업,1,1
조선일보,1,1
조양_가족,1,1
조종사,1,1
조직원,1,1
조직위,1,1
조합원,1,1
조합장,1,1
졸업생,1,1
졸업식,1,1
종다리,1,1
종로구,1,1
종사자,1,1
종업원,1,1
주거지,1,1
주민들,1,1
주사기,1,1
주사제,1,1
주유소,1,1
주의보,1,1
주차장,1,1
주총장,1,1
준공영제,1,1
중간고사,1,1
중개사,1,1
중견기업,1,1
중국발,1,1
중국발_입국자,1,1
중국인,1,1
중국인_유학생,1,1
중대본,1,1
중대재해법,1,1
중대재해처벌법,1,1
중소기,1,1
중소기업,1,1
중수청,1,1
중앙지검장,1,1
중재법,1,1
중재안,1,1
중징계,1,1
중학교,1,1
중학생,1,1
중환자,1,1
중환자_병상,1,1
중환자실,1,1
증가세,1,1
증거물,1,1
증거인멸,1,1
증권사,1,1
증명서,1,1
증선위,1,1
증후군,1,1
지검장,1,1
지난달,1,1
지방선거,1,1
지방세,1,1
지방종,1,1
지역사회,1,1
지원금,1,1
지원단,1,1
지원자,1,1
지원청,1,1
지자체,1,1
지청장,1,1
지하주차장,1,1
지하차도,1,1
지하철,1,1
지휘부,1,1
직무배제,1,1
직원들,1,1
직장인,1,1
직접고용,1,1
진단검사,1,1
진단키트,1,1
진료비,1,1
진료소,1,1
진상조사단,1,1
진술서,1,1
진에어,1,1
질병관리본부,1,1
질병관리청,1,1
질병청,1,1
질환자,1,1
집단_감염,1,1
집단감염,1,1
집단행동,1,1
집단휴진,1,1
집무실,1,1
집배원,1,1
집중관리군,1,1
집중호우,1,1
집행유예,1,1
집행정지_신청,1,1
징계,1,1
징계위,1,1
징계위원,1,1
차명계좌,1,1
착용_의무,1,1
착취물,1,1
참가자,1,1
참가자들,1,1
참고인,1,1
참사_당일,1,1
참석자,1,1
참여단,1,1
창업주,1,1
창원시,1,1
창원터널,1,1
채권단,1,1
채널A,1,1
채석장,1,1
채용비리,1,1
책임자,1,1
챌린지,1,1
챗GPT,1,1
처벌법,1,1
처음학교,1,1
천화동,1,1
철근_누락,1,1
철도노조,1,1
청년들,1,1
청담동,1,1
청도_대남병원,1,1
청도대남병원,1,1
청문회,1,1
청소년,1,1
