Column1,Column2,Column3
일용 잡급,"최근 공공기관에서 일용 잡급 인력에 대한 처우가 여전히 열악하다는 지적이 제기되며, 근로자들의 불만이 커지고 있습니다.",negative
인터넷 빌링 제도,최근 도입된 인터넷 빌링 제도는 잦은 오류와 복잡한 절차로 인해 이용자들의 불만이 끊이지 않고 있습니다.,negative
분수림,최근 조사에 따르면 분수림의 관리 소홀로 인해 주변 환경 오염과 안전사고 위험이 꾸준히 증가하고 있다는 우려의 목소리가 커지고 있다.,negative
환 리스크 헤징,최근 기업들의 환 리스크 헤징 미흡으로 인해 예상치 못한 대규모 손실이 발생해 재무 건전성에 심각한 우려가 제기되고 있다.,negative
거마비,최근 대학생들 사이에서 거마비가 과도하게 책정되어 경제적 부담이 커지고 있다는 비판의 목소리가 높아지고 있습니다.,negative
포트 홀,최근 도로 곳곳에 나타나는 포트 홀로 인해 차량 파손과 교통사고 위험이 크게 증가하면서 시민들의 불만이 커지고 있습니다.,negative
센서스,"최근 실시된 센서스의 결과가 현실을 제대로 반영하지 못했다는 비판이 커지고 있어, 정책 수립에 혼란을 초래할 우려가 제기되고 있다.",negative
기스,새로 구입한 스마트폰에 작은 기스가 발생해 소비자들 사이에서 제품 관리에 대한 불만이 커지고 있습니다.,negative
법면 보호,최근 진행된 공사 현장에서 법면 보호가 제대로 이루어지지 않아 토사 유출과 환경 파괴가 심각하게 우려되고 있습니다.,negative
우수 관로,최근 집중호우로 인해 우수 관로의 노후화 문제가 드러나면서 시민들은 반복되는 침수 피해와 불편에 대한 불만을 토로하고 있습니다.,negative
모객비,최근 일부 여행사에서 과도한 모객비를 요구해 소비자들의 불만과 신뢰 하락이 심화되고 있다는 지적이 나오고 있습니다.,negative
환취권,최근 환취권 제도는 투자자들에게 불공정한 손실을 초래한다는 비판이 끊이지 않고 있어 금융 당국의 개선 요구가 거세지고 있다.,negative
플렉시블 디스플레이,최근 출시된 플렉시블 디스플레이 제품이 내구성 문제와 잦은 결함으로 소비자들의 불만을 사고 있어 시장 신뢰도 하락 우려가 커지고 있습니다.,negative
관재 업무,"최근 감사 결과에 따르면, 관재 업무의 비효율성과 관리 소홀로 인해 공공 자산의 손실이 반복적으로 발생하고 있다는 지적이 나왔다.",negative
출납 폐쇄,"최근 은행의 출납 폐쇄 조치로 인해 많은 고객들이 불편을 겪고 있으며, 금융 서비스를 이용하는 데 큰 제약이 발생하고 있다는 지적이 나오고 있습니다.",negative
규제 프리 존,최근 도입된 규제 프리 존이 오히려 기업들의 무분별한 사업 확장과 지역 불균형을 초래한다는 비판이 끊이지 않고 있습니다.,negative
퍼블리시티권,최근 연예인들의 사생활 사진 무단 유포로 인해 퍼블리시티권 침해 문제가 심각하게 대두되고 있어 사회적 비난이 거세지고 있습니다.,negative
실례 가격,최근 발표된 실례 가격이 소비자들의 기대에 한참 못 미치면서 시장에 대한 불신과 불만이 커지고 있습니다.,negative
벌키,최근 벌키 스타일의 옷이 지나치게 부피감이 커서 실용성이나 세련미를 해친다는 비판이 이어지고 있습니다.,negative
비상 콜,최근 아파트 단지 내에서 비상 콜 시스템이 제대로 작동하지 않아 입주민들이 긴급 상황에서 큰 불편과 불안을 호소하고 있다.,negative
수화인,일부 공공기관에서 수화인에 대한 배려가 부족해 정보 접근에 심각한 불평등이 발생하고 있다는 지적이 이어지고 있다.,negative
크라우드 소싱,"최근 일부 기업들이 비용 절감을 이유로 크라우드 소싱을 무분별하게 도입하면서, 품질 저하와 노동 착취 문제가 심각하게 대두되고 있습니다.",negative
머스트 해브,최근 일부 업체에서 머스트 해브라는 용어를 남용하며 소비자들에게 불필요한 구매 압박을 주고 있다는 지적이 끊이지 않고 있습니다.,negative
길항 작용,최근 보고서에 따르면 특정 약물의 길항 작용이 환자 치료 효과를 저해하고 예상치 못한 부작용을 유발하는 것으로 밝혀져 우려가 커지고 있다.,negative
편무 계약,최근 일부 기업에서 편무 계약을 남용하며 노동자들의 권리를 심각하게 침해하고 있다는 비판이 커지고 있다.,negative
논 슬립,최근 출시된 논 슬립 제품이 기대에 못 미치는 미끄럼 방지 효과로 인해 소비자들 사이에서 불만이 커지고 있습니다.,negative
앵커 시설,최근 들어 앵커 시설의 부실한 관리와 안전 문제로 인해 지역 주민들의 불만과 우려가 계속해서 커지고 있다.,negative
그린 빌리지,최근 주민들 사이에서 그린 빌리지의 관리 부실과 잦은 소음 문제로 인해 주거 만족도가 크게 하락했다는 불만이 이어지고 있다.,negative
고지 의무,최근 보험사들이 고지 의무를 제대로 설명하지 않아 소비자들이 불이익을 겪는 사례가 빈번하게 발생하고 있어 문제로 지적되고 있다.,negative
노 마진,"최근 일부 업체들이 '노 마진' 정책을 내세워 판매를 이어가고 있으나, 이로 인해 품질 저하와 서비스 불만이 속출하는 등 부정적인 여론이 확산되고 있다.",negative
생력화,"최근 생력화가 도입된 결과, 일자리 감소와 업무의 질 저하 등 부정적인 영향이 사회 전반에 확산되고 있다는 우려가 커지고 있다.",negative
항만국 통제,"최근 실시된 항만국 통제 결과, 여러 선박이 안전 기준을 심각하게 위반한 사실이 드러나 항만국 통제의 실효성에 대한 비판이 거세지고 있습니다.",negative
표명 변경,정부의 잦은 표명 변경은 국민들에게 혼란을 야기하고 정책에 대한 신뢰도를 심각하게 떨어뜨린다는 비판이 제기되고 있습니다.,negative
적의 조치,정부는 최근 발표한 적의 조치가 국민의 불안을 가중시키고 사회 전반에 부정적인 영향을 미치고 있다는 비판에 직면해 있다.,negative
쿨링 오프,최근 소비자들 사이에서 쿨링 오프 제도의 실효성 부족과 복잡한 절차로 인해 불만이 커지고 있다.,negative
간벽,최근 조사에 따르면 간벽의 두께가 비정상적으로 증가하면 간 기능 저하와 같은 심각한 문제를 초래할 수 있어 우려가 커지고 있습니다.,negative
내용 연수,최근 정부의 내용 연수 정책이 현실과 맞지 않아 많은 기업들이 불필요한 비용 부담을 겪고 있다는 지적이 이어지고 있다.,negative
이미테이션,최근 시장에 유통되는 이미테이션 제품들이 정품과의 품질 차이로 인해 소비자들의 불만을 불러일으키고 있습니다.,negative
턴키 계약,최근 대형 건설사들이 무리하게 턴키 계약을 수주하면서 부실 시공과 예산 초과 등 심각한 문제가 반복되고 있다는 지적이 제기되고 있습니다.,negative
대체 수지,최근 의료계에서는 대체 수지가 정품 수지에 비해 내구성이 떨어지고 부작용 위험이 높다는 부정적인 평가가 잇따르고 있습니다.,negative
개산,최근 개산 과정에서 드러난 잦은 오류와 부정확한 수치는 기업의 신뢰도 하락과 함께 투자자들의 불안을 가중시키고 있습니다.,negative
거래 실례 가격,최근 부동산 시장에서 거래 실례 가격이 실제 시장 상황을 제대로 반영하지 못해 많은 시민들이 혼란과 불신을 호소하고 있습니다.,negative
감쇠,"최근 산업 현장에서 발생한 신호 감쇠 문제로 인해 기기 간 통신 오류가 빈번하게 발생하고 있어, 많은 기업들이 큰 불편을 겪고 있다.",negative
오염 우심 해역,최근 조사 결과 오염 우심 해역에서 해양 생물의 집단 폐사가 발생하는 등 환경 파괴가 심각하게 진행되고 있다는 지적이 이어지고 있습니다.,negative
바우처 제도,최근 도입된 바우처 제도는 실질적인 혜택보다 행정적 혼란과 불평등을 심화시킨다는 비판을 받고 있습니다.,negative
루미나리아,최근 출시된 루미나리아는 소비자들 사이에서 기대 이하의 성능과 잦은 오류로 인해 실망감을 안겨주며 부정적인 평가가 이어지고 있다.,negative
퍼블릭 도메인,"최근 여러 창작물의 저작권이 만료되어 퍼블릭 도메인으로 넘어가면서, 원작자의 권리가 충분히 보호받지 못한다는 비판의 목소리가 커지고 있습니다.",negative
간접 노무비,"최근 감사 결과, 일부 기업에서 간접 노무비가 불투명하게 집행되어 예산 낭비와 조직 내 비효율이 심화되고 있다는 지적이 제기되고 있다.",negative
인플루언서,최근 일부 인플루언서들이 허위 정보를 퍼뜨리거나 과장 광고를 일삼아 사회적으로 부정적인 영향이 커지고 있다는 지적이 나오고 있습니다.,negative
절전 규제,최근 도입된 절전 규제가 기업들의 생산성을 저해하고 시민들의 불편을 가중시킨다는 비판이 잇따르고 있습니다.,negative
노폭,최근 온라인 커뮤니티에서 논란이 된 노폭은 무분별한 언행과 비하 발언으로 많은 이용자들에게 불쾌감을 주며 사회적 문제로 지적받고 있습니다.,negative
스폿 광고,최근 방송사에서 지나치게 많은 스폿 광고를 삽입해 시청자들이 프로그램에 집중하기 어렵다는 불만이 계속해서 제기되고 있다.,negative
리버서블,최근 출시된 리버서블 제품의 내구성과 마감 처리가 기대에 미치지 못해 소비자들의 불만이 이어지고 있다.,negative
호천,"최근 주민들 사이에서 호천의 수질 오염 문제와 악취가 심각하게 대두되면서, 지역 환경에 대한 우려가 커지고 있다.",negative
세이프 가드,최근 정부가 시행한 세이프 가드는 국내 산업 보호라는 명분에도 불구하고 소비자 부담 증가와 시장 왜곡이라는 부정적인 결과를 초래하고 있다는 비판이 확산되고 있습니다.,negative
시건,최근 공공기관의 시건 관리 부실로 인한 보안 사고가 잇따르며 시민들의 불안감이 커지고 있다는 우려의 목소리가 나오고 있다.,negative
스키드 마크,어제 발생한 교통사고 현장에는 긴 스키드 마크가 남아 운전자의 급정거와 부주의한 운전이 사고의 주요 원인임을 보여주고 있다.,negative
그린 푸드 존,최근 시민들 사이에서 그린 푸드 존이 오히려 음식점 선택의 자유를 제한하고 영세 상인들에게 부담을 준다는 부정적인 목소리가 커지고 있다.,negative
가표,최근 선거에서 가표가 대량으로 발생해 공정성이 심각하게 훼손되었다는 비판이 커지고 있습니다.,negative
가수증,"최근 청년들 사이에서 급증하고 있는 가수증은 심각한 정신적 스트레스를 유발하며, 치료의 필요성이 강조되고 있습니다.",negative
디퓨전 숍,"최근 소비자들 사이에서 디퓨전 숍의 품질 저하와 불친절한 서비스에 대한 불만이 지속적으로 제기되고 있어, 브랜드 이미지에 부정적인 영향을 끼치고 있습니다.",negative
핫 머니,최근 금융 시장에서 핫 머니의 무분별한 유입이 단기적 이익만을 추구하며 경제의 불안정성을 심화시킨다는 우려가 커지고 있다.,negative
하자 보증 기간,최근 아파트 하자 보증 기간이 지나자마자 벽에 금이 가고 누수가 발생하는 등 입주민들이 심각한 피해를 호소하고 있습니다.,negative
혹서,최근 들어 혹서로 인해 연일 기록적인 폭염이 이어지며 시민들의 건강과 일상에 심각한 부정적인 영향이 미치고 있다는 우려가 커지고 있습니다.,negative
격간 운행,최근 시민들은 격간 운행이 반복되면서 버스 대기 시간 증가와 교통 불편이 심각해졌다는 불만을 쏟아내고 있다.,negative
차면 시설,최근 조사에 따르면 일부 차면 시설의 노후화와 부실 시공으로 인해 시민들의 안전과 주거 환경에 심각한 문제가 발생하고 있다는 우려의 목소리가 커지고 있다.,negative
비회,최근 진행된 비회에서 여러 중요한 사안들이 제대로 논의되지 못하고 시간만 허비했다는 비판이 제기되고 있습니다.,negative
오토 프로그램,최근 온라인 게임에서 오토 프로그램 사용이 급증하면서 정상적인 이용자들의 게임 경험이 크게 훼손되고 있다는 지적이 이어지고 있다.,negative
마켓 셰어,최근 보고서에 따르면 해당 기업의 마켓 셰어가 지속적으로 감소해 업계 내 경쟁력이 약화되고 있다는 우려가 크다.,negative
농무 현상,최근 농무 현상으로 인해 도로 시야가 급격히 나빠져 교통사고가 잇따르는 등 시민들의 안전이 크게 위협받고 있습니다.,negative
렌트 푸어,최근 급격하게 늘어난 렌트 푸어 현상은 많은 시민들이 주거비 부담에 시달리며 생활의 질이 심각하게 저하되고 있음을 보여줍니다.,negative
컨트리 리스크,최근 신흥국의 경제 불안정과 정치적 혼란으로 인해 컨트리 리스크가 크게 증가해 투자자들의 우려가 커지고 있습니다.,negative
특사 배달,최근 논란이 되고 있는 특사 배달 과정에서 공정성과 투명성이 부족하다는 지적이 이어지며 국민들의 불신이 커지고 있습니다.,negative
로컬 푸드,"최근 일부 소비자들은 로컬 푸드의 품질과 신선도가 예상보다 낮아 실망감을 표하고 있으며, 가격 대비 만족도가 떨어진다는 부정적인 의견이 늘고 있습니다.",negative
개산급,최근 보고된 바에 따르면 개산급의 처리 과정에서 여러 차례 부실과 오류가 발견되어 시민들 사이에서 큰 불만과 우려의 목소리가 커지고 있습니다.,negative
리바이벌,최근 방영된 드라마의 리바이벌은 원작의 감동을 살리지 못해 시청자들 사이에서 실망스럽다는 평가를 받고 있습니다.,negative
컨벤션 뷰로,최근에 오픈된 컨벤션 뷰로는 기대와 달리 교통 혼잡과 부족한 편의시설로 인해 방문객들에게 불편함과 실망감을 안겨주고 있습니다.,negative
검취,최근 일부 식품에서 검취가 심하게 느껴진다는 소비자들의 불만이 이어지면서 제품 신뢰도 하락이 우려되고 있습니다.,negative
기채지,최근 기채지의 무분별한 개발로 인해 지역 주민들 사이에서 환경 파괴와 소음 문제가 심각하게 대두되고 있습니다.,negative
행정 재산의 관리 위탁,최근 감사 결과에 따르면 행정 재산의 관리 위탁 과정에서 부실 운영과 예산 낭비가 지속적으로 발생해 시민들의 불만이 커지고 있다.,negative
프로슈머,최근 일부 기업들이 프로슈머의 의견을 무시한 채 일방적인 제품 개발을 강행해 소비자들의 불만이 커지고 있다.,negative
아우트리치,"최근 실시된 아우트리치는 충분한 준비와 소통 부족으로 인해 주민들의 불만을 초래하며, 지역 사회 내에서 부정적인 평가를 받고 있습니다.",negative
거래원,최근 일부 거래원이 불공정한 방법으로 이익을 챙겼다는 의혹이 제기되며 금융 시장의 신뢰를 크게 훼손하고 있다.,negative
보텀업,최근 시행된 보텀업 방식의 의사결정은 현장의 혼란과 비효율을 초래했다는 비판이 이어지고 있습니다.,negative
시건장치,"최근 여러 건물에서 발견된 부실한 시건장치로 인해 도난 사고가 잇따르면서, 해당 시건장치의 신뢰성에 대한 우려가 커지고 있습니다.",negative
키보드 보안,최근 여러 금융 기관에서 사용 중인 키보드 보안 프로그램이 오히려 사용자 컴퓨터의 성능 저하와 보안 취약점을 유발한다는 지적이 잇따르고 있습니다.,negative
가설하다,이번 연구에서 무리하게 가설하다 보니 충분한 근거 없이 결론을 내렸다는 비판이 제기되고 있습니다.,negative
스몸비,최근 도심에서 스마트폰에만 집중하는 스몸비 현상이 보행자 안전을 심각하게 위협하며 사회적 문제로 대두되고 있습니다.,negative
하례회,최근 일부 하례회에서 부적절한 행동과 불투명한 운영이 드러나 지역 사회의 신뢰를 크게 저하시키고 있다는 비판이 이어지고 있습니다.,negative
비즈니스 네트워킹 허브,최근 오픈된 비즈니스 네트워킹 허브는 부실한 운영과 미흡한 인프라로 인해 기업인들 사이에서 실망감을 사고 있다.,negative
딜레이,최근 대중교통의 잦은 딜레이로 인해 시민들의 불편과 불만이 점점 커지고 있다는 지적이 잇따르고 있다.,negative
하우징 페어,최근 열린 하우징 페어는 준비 부족과 혼란스러운 운영 탓에 방문객들과 참가 업체들 모두에게 큰 실망을 안겨주었다.,negative
직접 노무비,최근 건설 현장에서 직접 노무비의 불투명한 집행과 일부 인력에 대한 부당한 삭감이 근로자들의 불만을 키우고 있다.,negative
디스카운트 세일,최근 각종 디스카운트 세일이 난무하면서 소비자들은 품질 저하와 허위 할인에 대한 불만을 토로하고 있습니다.,negative
패밀리 사이트,"최근 여러 업체의 패밀리 사이트를 통한 개인정보 유출 사고가 잇따르면서, 이용자들 사이에서 패밀리 사이트에 대한 신뢰도가 크게 하락하고 있습니다.",negative
슬랙 어저스터,최근 발생한 대형 사고의 원인으로 슬랙 어저스터의 결함이 지목되면서 안전성에 대한 심각한 우려가 제기되고 있습니다.,negative
굴토,최근 대형 공사 현장에서 발생한 굴토 작업의 부실 관리로 인해 인근 주택의 붕괴 위험이 커졌다는 비판이 이어지고 있다.,negative
압입,최근 건설 현장에서 발생한 압입 과정의 부실로 인해 구조물 안전성에 심각한 우려가 제기되고 있습니다.,negative
로드 맵,정부가 발표한 로드 맵이 현실과 동떨어진 내용으로 가득 차 있어 실효성에 대한 비판이 거세지고 있습니다.,negative
할척 관세,"최근 도입된 할척 관세로 인해 수입 업체들은 큰 부담을 겪고 있으며, 이로 인해 시장 가격이 급등하고 소비자들의 불만도 커지고 있습니다.",negative
낙도 보조 항로,"최근 감사원 보고서에 따르면, 낙도 보조 항로의 운영이 비효율적으로 이루어지면서 예산 낭비와 주민 불편이 지속되고 있다는 지적이 제기되고 있다.",negative
백 드롭,최근 경기에서 선수의 무리한 백 드롭 시도는 부상 위험을 높이고 경기 흐름을 방해했다는 비판이 이어지고 있습니다.,negative
교환 차금,최근 일부 기업에서 발생한 교환 차금 문제로 인해 투자자들의 신뢰가 심각하게 흔들리고 있다는 우려의 목소리가 커지고 있습니다.,negative
결문,최근 보고서에서 드러난 결문은 논리적 일관성이 부족하고 핵심 내용을 제대로 요약하지 못해 독자들에게 혼란을 주고 있다는 비판이 이어지고 있습니다.,negative
승률 비용,"최근 기업들의 승률 비용이 과도하게 증가하면서, 효율적인 자원 배분에 큰 걸림돌이 되고 있다는 지적이 이어지고 있습니다.",negative
합의 관할,이번 분쟁에서 불공정하게 설정된 합의 관할 조항이 소송 당사자에게 불리하게 작용했다는 지적이 잇따르고 있습니다.,negative
가적,"최근 논란이 되고 있는 가적의 결정은 많은 시민들에게 실망을 안겨주었으며, 그 과정에서 공정성과 투명성이 크게 훼손되었다는 지적이 잇따르고 있습니다.",negative
매칭 펀드,최근 논란이 되고 있는 매칭 펀드는 불투명한 운용 방식과 잦은 부실 투자로 인해 투자자들의 불신을 키우고 있다는 지적을 받고 있습니다.,negative
판매 조서,"최근 감사 결과, 일부 기업에서 작성된 판매 조서가 허위로 기재되어 신뢰성에 심각한 문제가 있다는 지적이 제기되고 있다.",negative
비주얼 머천다이징,최근 대형 매장의 비주얼 머천다이징이 혼란스럽고 산만하다는 소비자들의 불만이 꾸준히 제기되고 있습니다.,negative
집진 시설,최근 조사에 따르면 집진 시설의 노후화와 관리 부실로 인해 대기 오염이 심각하게 악화되고 있다는 지적이 잇따르고 있다.,negative
대부 계약 대부료,최근 대부 계약 대부료가 지나치게 높게 책정되어 서민들의 경제적 부담이 크게 가중되고 있다는 비판이 일고 있습니다.,negative
안치대,최근 병원에서 사용되는 안치대의 위생 상태가 매우 불량하다는 지적이 이어지면서 환자와 가족들의 불만이 커지고 있습니다.,negative
프리 포트,최근 프리 포트가 불법 자금 세탁과 미술품 밀반입의 온상으로 지목되면서 해당 시설에 대한 부정적인 시선이 확산되고 있습니다.,negative
전자 바우처,최근 전자 바우처 시스템의 잦은 오류와 불안정한 서비스로 인해 많은 이용자들이 큰 불편을 겪고 있다는 지적이 이어지고 있습니다.,negative
윤번,윤번 제도가 일관성 없는 운영과 책임 회피를 초래해 조직 내 혼란과 불신을 키우고 있다는 비판이 계속되고 있습니다.,negative
소정 양식,최근 시민들은 복잡하고 불필요하게 많은 정보 기입을 요구하는 소정 양식 때문에 행정 절차가 불편해지고 있다는 불만을 표하고 있습니다.,negative
시말서,"최근 한 공공기관에서 직원들에게 시말서를 무리하게 요구했다는 사실이 알려지면서, 조직 내 인권 침해와 부당한 압박이 심각한 문제로 지적되고 있다.",negative
접속 도로,최근 신설된 접속 도로는 설계 미흡과 안전시설 부족으로 인해 교통사고 위험이 높아 주민들의 불만이 커지고 있습니다.,negative
라이브 폴,"최근 진행된 라이브 폴 결과가 신뢰성 논란에 휩싸이면서, 많은 시민들이 여론조사에 대한 불신을 드러내고 있습니다.",negative
의료 텔레메트리,최근 의료 현장에서 도입되고 있는 의료 텔레메트리는 개인정보 유출과 오진 위험 등 심각한 부작용이 우려되고 있어 많은 비판을 받고 있습니다.,negative
위해물,최근 시중에 유통되는 식품에서 위해물이 발견되어 소비자들의 불안감이 크게 확산되고 있다.,negative
체크 프라이스,"최근 일부 소비자들 사이에서 체크 프라이스의 불신이 확산되고 있으며, 실제 판매가와 차이가 커 소비자들의 불만이 커지고 있다는 지적이 나오고 있습니다.",negative
절사,최근 정부의 일방적인 절사 결정으로 인해 많은 소액 투자자들이 불이익을 겪고 있다는 비판의 목소리가 커지고 있다.,negative
파출 검사,최근 논란이 된 파출 검사는 수사 과정에서 공정성을 잃었다는 비판을 받고 있어 국민들의 불신이 커지고 있습니다.,negative
아우트라인,최근 발표된 보고서의 아우트라인이 지나치게 모호하고 구체성이 부족해 많은 이들이 신뢰할 수 없다는 비판이 이어지고 있습니다.,negative
리컨스트럭션,최근 진행된 리컨스트럭션 사업이 주민들의 재정적 부담과 생활 불편을 가중시켜 비판의 목소리가 커지고 있습니다.,negative
물품 수불부,"최근 감사 결과, 물품 수불부의 부정확한 기록과 관리 소홀로 인해 물품 분실 및 예산 낭비가 지속적으로 발생한 것으로 드러났다.",negative
추후 통보,해당 회사의 채용 공고에서 합격 여부를 추후 통보하겠다는 안내는 지원자들에게 불안과 불만을 야기한다는 지적이 이어지고 있다.,negative
머프,최근 머프의 품질 저하와 불편한 착용감에 대한 소비자들의 불만이 계속해서 제기되고 있다.,negative
개런티,최근 일부 연예인들의 과도한 개런티 요구가 업계에 불공정한 분위기를 조성하고 있다는 지적이 끊이지 않고 있다.,negative
팝업 창,최근 사용자들 사이에서 팝업 창이 지나치게 자주 등장해 웹사이트 이용 경험을 방해한다는 불만이 잇따르고 있다.,negative
디지털 셀프 출판,최근 디지털 셀프 출판이 급증하면서 품질 관리가 제대로 이루어지지 않아 독자들 사이에서 불만이 커지고 있다.,negative
소셜 커머스,최근 소셜 커머스에서 허위 후기와 과장 광고가 잇따라 소비자들의 신뢰를 심각하게 훼손하고 있다는 지적이 이어지고 있다.,negative
호발기,최근 출시된 호발기는 사용자들 사이에서 잦은 고장과 불편한 작동 방식으로 인해 부정적인 평가를 받고 있습니다.,negative
검치,최근 검치의 부실한 관리와 오작동 사례가 빈번하게 보고되면서 시민들의 불안과 불만이 커지고 있습니다.,negative
세컨더리 보이콧,최근 세컨더리 보이콧 조치로 인해 국내 여러 기업들이 국제 거래에서 심각한 피해를 입고 있어 우려의 목소리가 커지고 있습니다.,negative
핸드북,최근 발간된 핸드북은 최신 정보가 부족하고 오탈자가 많아 사용자들로부터 신뢰를 잃고 있다는 비판이 이어지고 있습니다.,negative
바이오메디컬 허브,"최근 발표된 조사에 따르면 바이오메디컬 허브의 운영 미숙과 잦은 시스템 오류로 인해 연구진과 의료진들 사이에서 불만이 고조되고 있으며, 혁신적인 역할을 기대했던 허브에 대한 신뢰가 점점 떨어지고 있다.",negative
매스 프로덕션,"매스 프로덕션의 확산은 창의성과 다양성을 저해하며, 시장에는 개성이 사라진 천편일률적인 상품들만 넘쳐난다는 비판이 끊이지 않고 있습니다.",negative
카 셰어링,카 셰어링 이용 과정에서 차량 내 위생 문제와 시간 약속 미준수 사례가 계속 보고되면서 서비스 신뢰도에 심각한 타격을 주고 있다.,negative
공사 현장 대리인,"공사 현장 대리인의 무책임한 업무 처리로 인해 근로자들의 불만이 크게 확산되고 있으며, 현장 분위기 역시 점점 악화되고 있다는 우려가 커지고 있습니다.",negative
내셔널 트러스트,내셔널 트러스트의 불투명한 운영과 책임 회피로 인해 지역사회 신뢰가 크게 저하되고 있다는 비판이 이어지고 있다.,negative
노변,"노변에 방치된 각종 폐기물과 정돈되지 않은 환경은 보행자들의 안전을 위협하고, 지역사회에 부정적인 이미지를 심어주고 있습니다.",negative
