sentence,aspect,sentiment
통기성 좋고 가볍고 샘방지도.. 잘되어있는 3중파워흡수 ..,샘방지,positive
100% 미국산 #천연코튼 함유로.. 부드럽고 자극적이지 않네여..,100% 미국산 #천연코튼,positive
컴팩트한 사이즈에 예쁜 스타일링..,사이즈,positive
컴팩트한 사이즈에 예쁜 스타일링..,스타일링,positive
앙증맞은 사이즈지만 이거 완전 레알 잘찍힌다..,사이즈,positive
299g 에 세상에서 가장 빠른 0.05초 AF 라..,0.05초 AF,positive
그래서 매일매일 지친눈가를 섬세하게 케어해주고 리치한텍스쳐가 촉촉하고 촘촘한 탄력을 안겨주는 #트리아 애프터 라이트 리뉴 #아이크림 바르고 있어요!,텍스쳐,positive
그래서 매일매일 지친눈가를 섬세하게 케어해주고 리치한텍스쳐가 촉촉하고 촘촘한 탄력을 안겨주는 #트리아 애프터 라이트 리뉴 #아이크림 바르고 있어요!,트리아 애프터 라이트 리뉴 #아이크림,positive
아이관리 트리아 비포 앤 애프터 리뉴 라인 써보세요~!!,아이관리 트리아 비포 앤 애프터 리뉴 라인,positive
역시 천연비누라 순하고 성분중에 달팽이점액이 들어가 트러블을 완화시켜주는듯!,천연비누,positive
역시 천연비누라 순하고 성분중에 달팽이점액이 들어가 트러블을 완화시켜주는듯!,달팽이점액,positive
그리고 작은사이즈의 #스틱비누 휴대하며 사용중인데 가지고 다니며 사용하니 아이들 손씻길때도 좋고 손씻고 땡기지 않아서 좋네요~,작은사이즈의 #스틱비누,positive
효모에센스라 매일매일 내 피부를 탄탄하고 생기있게 책임져주는중~,효모에센스,positive
대용량이라 아낌없이 발라주기!,대용량,positive
친구가 추천해줘서 구매한 #착한생리대~,생리대,positive
매직데이에 통증 많은데~~ #오드리선 쓰고 많이 좋아진듯~,오드리선,positive
스트레스 많은 요즘 천연 아로마오일이 함유된 #입솜 메이창 유칼리투스 미스트로 아로마테라피도 하고 피부의 건조함도 잡아요!,천연 아로마오일,positive
좋은성분으로 만들어 아이들과 함께 사용할수 있어 더 좋은 순한 #입솜미스트 좋으다!!,입솜미스트,positive
부분미백이 아니라 전신미백이 가능해서 블랙샷 하나면 미백준비끝!,블랙샷,positive
✔너리싱샴푸 : 천연보태니컬 영양성분이 두피와 모발을 깨끗이하고 윤기와 부드러움을 더해주네요~,너리싱샴푸,positive
"다양한 고농축 약초와 허브추출물 함유로 수분공급, 보습은 물론 모근강화, 비듬/각질케어까지!!",다양한 고농축 약초와 허브추출물,positive
약산성이라 유수분의 균형을 맞춰주는 샴푸랍니다!,샴푸,positive
무엇보다 4가지 컬러 모두 취저라는거~,4가지 컬러,positive
그날 그날 기분에 따라 다르게 표현하기 좋아서 가을 립스틱으로 강추해요~,가을 립스틱,positive
퍼프부터 특별한 #압솔뤼쿠션,퍼프,positive
150개 장미 꽃잎 앰플로 커버력과 지속력은 기본 피부광채까지....,150개 장미 꽃잎 앰플,positive
나를 홀린 랑콤 압솔뤼쿠션🌹,랑콤 압솔뤼쿠션,positive
은은한 베이비파우더향으로 기분까지 좋아지는 #유아세제,베이비파우더향,positive
민감한 내 두피를 위한 내샴푸 #니심 #뉴패스트샴푸!,니심 #뉴패스트샴푸,positive
정말 순하고 수분감 가득 촉촉해서 좋다,수분감,positive
오가닉 원료들 함유로 온가족이 사용가능한 베베 카멜리아 앤 라벤더 밤!,오가닉 원료들,positive
타마누오일 카멜리아 오일 등 함유로 수분과 진정효과가 있는 멀티밤!,타마누오일 카멜리아 오일,positive
완전 신비 젤리 클렌즈에요!,젤리 클렌즈,neutral
제형부터가 남다르고요~,제형,positive
얼굴에 도포하면 텍스쳐가 신기신기~,텍스쳐,neutral
닥터스파아쿠아필은 저자극 아쿠아필링으로 묵은각질제거는 물론 이온토포레시스로 맑고 화사한 피부 만들수있는 저자극 멀티 뷰티 디바이스랍니다!,닥터스파아쿠아필,positive
3가지 어플리케이터로 체계적으로 집에서도 관리 가능한데요~,3가지 어플리케이터,positive
완전 만능 뷰티디바이스에요~~,뷰티디바이스,positive
산뜻하고 촉촉한 #프라젠트라 #벨리크림!,프라젠트라 #벨리크림,positive
제가 사용해본것중 가장 좋았던 #튼살크림 인데요~,튼살크림,positive
예쁘고 당당한 D라인을 위해~완전 강추하는 크림이에요~,크림,positive
화해 기준 20가지 유해성분 없는 착한 제품에 파라벤류 무첨가로 안심하고 사용가능하구요!,파라벤류 무첨가,positive
인체 적용 시험으로 확인된 예방과 개선이 가능한 바디케어 제품이 바로 프라젠트라 벨리크림이랍니다~,프라젠트라 벨리크림,positive
애정하는 #키엘자외선차단제!,키엘자외선차단제,positive
기본적으로 촉촉하고...로자갈리카 추출물 함유로 자극받은 피부 진정까지!!,로자갈리카 추출물,positive
#키엘 #자차 어찌 애정안할수 있나요..ㅋㅋ,키엘 #자차,positive
앰플이 비싸다는 편견은 이제안녕~~,앰플,positive
부담없는 가격이라 이제는 고기능 앰플을 매일매일 바를수 있네요!,고기능 앰플,positive
"마스킹 레이어링 앰플은 메디힐에서 새로 출시한 앰플로..앰플캡도 편리해서 휴대,보관도 용이하네요!",앰플캡,positive
실키한 텍스쳐로 촉촉함과 커버력이 남달라요,텍스쳐,positive
패키지는 완전 #취향저격!,패키지,positive
꼭 필요한성분만 넣어 #패밀리치약 으로 안성맞춤!,패밀리치약,positive
#양치질 후에도 아무거나 먹을수 있는 #라울루치약!,라울루치약,positive
거기다 치아건강에 도움을 주는 허브 함유로 양치하고난뒤 개운함과 깔끔한 사용감!,허브,positive
디자인이 #예쁜치약 이라 선물로도 제격!!,치약,positive
내가 애정하는 #슈에무라,슈에무라,positive
컬러 없는 세상을 만들고 싶어하는 쿠파대마왕으로부터 피치공주를 구해줄 컬러풀하고 귀여운 16가지 슈에무라x슈퍼마리오 #홀리데이컬렉션 완전기대중~~ㅎㅎ,슈에무라x슈퍼마리오 #홀리데이컬렉션,positive
고민에 따라 하루 1팩 골라사용하기 좋아요~,팩,positive
또 프로뮨 마스크팩은 피부에 공기처럼 착 붙는 밀착 에어셀시트라 오랫동안 촉촉하게 지속력 좋아서 1일 1팩으로 생기있고 촉촉한 동안피부 만들고 있어요~,밀착 에어셀시트,positive
요즘처럼 피부고민 많을 때 푸석거리는 피부관리에 #시트마스크팩 찾고 계시면 프로뮨 마스크팩 한번 써보시길요!,프로뮨 마스크팩,positive
마마포레스트 처음 사용해보는데~요거 #스타터키트 좋으네요!!,스타터키트,positive
✔디쉬바 트레이는 물빠짐이 가능한 디자인이라 디쉬바가 쉽게 물러지지 않고 오래사용가능하게 하는 저용 트레이에요!,디쉬바 트레이,positive
✔에코행주는 친환경 셀룰로오스 행주라 세균번식은 없고~ 스크래치없이 오래사용한~~ 흡수력 좋은 행주랍니다!!,에코행주,positive
선물받아 직접 써보니 마마포레스트에 반했어용~~^^,마마포레스트,positive
👉예쁘고 세정력좋은 마마포레스트 제품들은 ✔일산 백석역[벨라시타] - 띵굴 시장 에서 만날수 있어요!,마마포레스트 제품들,positive
거칠해지고 건조한곳에 #아이소이 #모이스춰라이ZIP 하나면 OK!,아이소이 #모이스춰라이ZIP,positive
칸데릴라 왁스와 불가리안 로즈오일 함유로 완전 쫀쫀한 보습을 느낄수 있어요~,칸데릴라 왁스와 불가리안 로즈오일,positive
외출할땐 핸드백에 모이스춰라이ZIP스틱 하나로 언제어디서나 초크초크하게! 모찌모찌하게!,모이스춰라이ZIP스틱,positive
바르는 즉시 리프팅되어 주름이 채워지고 금 오팔 캐비어 등의 고급성분들이 주름개선은 물론 자연스러운 볼륨효과가 그뤠잇!,금 오팔 캐비어 등의 고급성분,positive
피쉬콜라겐 씨실트 캐비어추출물이 목피부를 탄력있고 밀도높게 관리해줘요~,피쉬콜라겐 씨실트 캐비어추출물,positive
이제 이 두가지 크림만 있으면 주름걱정안녕~!!,크림,positive
시칼파트블루젤로 예민한 피부를 진정시키면서 촉촉하게 보습하고 시칼파트 S.O.S 크림으로 고민되는부위 케어와 손상된 피부 개선시키고 보호하기~,시칼파트블루젤,positive
기초바르고..마지막에 #큐어크림 바르고~메이크업하면 완전 #화장잘먹음..ㅋㅋ👍👍,큐어크림,positive
그래서 #올리브영 #드림웍스마스크팩 으로 특단의 조치 들어갔어요!,드림웍스마스크팩,positive
패키지부터 눈길을 확 잡는 귀염미 뿜뿜!! 한 #슈렉팩 #피오나팩 #쿵푸팬더팩!,슈렉팩,positive
워시오프타입으로 조금 더 뽀송하고 촉촉한 피부를 만들수 있는 마스크팩이에요~,마스크팩,positive
"👉 슈렉팩 : 녹차수함유, 팥스크럽이 모공은 잡아주고, 블랙헤드는 빼주고 각질제거로 매끈한 피부로 만들어주는 진짜 슈렉팩!",슈렉팩,positive
앞으로 #드림웍스워시오프3종마스크팩 만 있으면..이제 모공걱정은 안녕~~,드림웍스워시오프3종마스크팩,positive
"그날그날 피부 컨디션에 따라 골라하는 재미도 있는 #드림웍스페이셜마스크팩 으로 우리 같이 피지, 블랙헤드를 모두 날려보아요~!",드림웍스페이셜마스크팩,positive
여행파우치 저도 겟했는데 휴가때 써보니 완전 유용하더라구요~,여행파우치,positive
5가지 색상 모두 맘에드는 #이즈립틴트!,5가지 색상,positive
"스칼렛레드, 루비레드,팝오렌지, 베리잼, 플래시핑크 어느하나 포기할수 없는 색상들 넘 예뻐요~~","스칼렛레드, 루비레드,팝오렌지, 베리잼, 플래시핑크",positive
자극받은 제 두피를 진정시키고 속까지 깨끗하게 만들어주는 #피오니샴푸 #네틀샴푸,피오니샴푸 #네틀샴푸,positive
친환경적인데다가...향도 너므 좋아요!!,향,positive
흔적많은 나에게 딱인 재생크림인 #새살크림,재생크림,positive
유수분밸런스도 맞춰주고 묽은 수분크림 제형이라...#초크초크 끈적이지 않아 요즘날씨에도 바르기 좋으네요~,수분크림 제형,positive
부드러운 꽃향기가 솔솔~~,꽃향기,positive
4가지 패키지를 내맘대로 골라쓰는 재미까지!,4가지 패키지,positive
넘 예쁜 # #오드오랄 치약 #취향저격!,오드오랄 치약,positive
하루종일 꽃향기뿜뿜!!,꽃향기,positive
2개의 칫솔모가 회전과 왕복을 하며 치아표면은 물론 치간을 구석구석 닦아준답니다!,2개의 칫솔모,positive
닦고나면 완전 시원하고 개운한 쿨샤!!,쿨샤,positive
순하고 자극적이지 않아 바디라인 다 사용중인데 넘 맘에 쏙 들어요 :),바디라인,positive
여성청결제 역시 굿!,여성청결제,positive
친구네 갔는데 #버블폼 있어서 써봣더니 건조하지도 않고 너무 좋아서 보니 #아토클리닉 #유아세안제 더라구요 👦🏼,아토클리닉 #유아세안제,positive
"전성분 EWG 그린 등급, 자연유래세정제로 아이는 물론 민감한 분들도 다 사용하기 좋을것 같아요~",전성분 EWG 그린 등급,positive
향이 우선 크 내가 좋아하는 해외 e브랜드 내가 좋아하던 그향!!!!,향,positive
제주감태에서 추출한 씨놀이 들어간 황산화 효과까지 있다니 꾸준히 써봐야겠당,제주감태에서 추출한 씨놀,positive
볼륨쿠션 리얼 엠보싱 원단이라 잘닦이고 독일 피부과학 연구소 더마 테스트 인증까지,볼륨쿠션 리얼 엠보싱 원단,positive
난 무엇보다 물티슈는 촉감이나 사용감이 중한데 천연펄프라 그런지 볼륨감 벌키감이 육아맘들의 애정템인 이유가 있넹~❤️,천연펄프,positive
안자극대체테스트도 받고 10단계 정제 수 사용해서 신생아 물티슈로도 딱 👏🏻👏🏻,신생아 물티슈,positive
입이 얼얼할정도로 강한 치약들은 코가찡 맵고 몸이 안좋은 기분인데 온가족이 다사용할 #치약 으로도 딱 인듯! 😀,치약,positive
#패밀리치약 으로 당첨^^,치약,positive
#대형패브릭포스터 라 거실 방 그리고 가리고싶은곳에도 딱!!,대형패브릭포스터,positive
#고흐의정원 서랍 뒤에 보기 거슬리는곳에 붙였더니 그곳 역시 #엄지척!,고흐의정원,positive
"화학성분없이 순하고 세척뿐만 아니라 살균,탈취, 미세 중금속 중화까지 가능한 해독세제 #밀크프렌즈 ❗",밀크프렌즈,positive
#친환경세제 인데 세정력도 완전 강력한 아이~,친환경세제,positive
패키지도 고급지고 예뻐서 #출산선물 로도 굿굿❗🤘,패키지,positive
청담동 #모델로피부과 VVIP 관리할때 사용한다는 #모델로 #비타민크림 !,모델로 #비타민크림,positive
#미녀크림 톡톡톡 한방이면 칙칙했던 피부가 화사해져~♩,미녀크림,positive
#카시트 거부가 심하다면 #밴밧올리 #카시트후방거울 추천해주고 싶어요!,밴밧올리 #카시트후방거울,positive
카시트만 태우면 자지러지게 울었는데 요즘 #밴밧올리 덕분에 장거리여행도 문제없어요~ :) .,밴밧올리,positive
집에서도 캠핑갈때도 어디서나 간편하게 사용가능한 무선 LED #무드램프 💡,무선 LED #무드램프,positive
귀여운 에그모양 프리즘 충전식 무드램프!🍳,에그모양 프리즘 충전식 무드램프,positive
분위기도 최고!❤,분위기,positive
피부에 좋은 #남치니마스크팩,남치니마스크팩,positive
사진찍기놀이 소품으로도 좋아!🖒,사진찍기놀이 소품,positive
🍼 믿고쓰는 브랜드 #더블하트,더블하트,positive
"더블하트에서 거품형 #젖병세정제 나왔길래, 써봤는데 적은양으로도 거품이 풍성하고, 뽀득뽀득 잘 닦여서 조타~😁",거품형 #젖병세정제,positive
"✔ 사탕수수,야자 식물유래 성분으로 안심!","사탕수수,야자 식물유래 성분",positive
게다가 대용량이라 가성비 쵝오!👍,대용량,positive
#&name&칫솔 로 핫한 #쿨샤전동칫솔 로 바꿨어요❗,쿨샤전동칫솔,positive
"쿨샤는 따로 치실,치간칫솔 사용안해도 깔끔하네요~ :)",쿨샤,positive
무선 충전방식 #전동칫솔 로 1번 충전하면 10일정도 사용할수 있어서 여행이나 출장갈때도 편리해요~🖒,무선 충전방식 #전동칫솔,positive
돌무렵 아이에게 추천해 주고픈 #아이큐베이비 #칭찬해무민 ~!,아이큐베이비 #칭찬해무민,positive
요즘 미세먼지가 심해서 외출이 쉽지 않은데 집에서 아이랑 놀아주기 좋은 #아기교구,아기교구,positive
#무민손인형 으로 역할놀이 하다보면 상상력과 창의력이 쑥쑥 자라나요~♩,무민손인형,positive
#IQBABY 덕분에 독박육아가 한결 쉬워졌어요~ :),IQBABY,positive
빗질할때마다 머리가 잘 엉키고 부시시해서 스트레스 받았었는데 #커리쉴 #실키오일세럼 사용한뒤로 머릿결이 완전 윤기뿜뿜이자나~♩,커리쉴 #실키오일세럼,positive
향수가 따로 필요없을 정도로 산뜻하고 달달한 복숭아향이 완전 취저~❤,복숭아향,positive
실리콘 프리 제품으로 자연유래오일 9종을 나노단위로 쪼개서 블렌드한 세럼제형으로 가볍고 흡수가 빨라서 굿굿~🖒,자연유래오일 9종을 나노단위로 쪼개서 블렌드한 세럼제형,positive
손상모도 실키하게 환생시켜주는 #헤어에센스,헤어에센스,positive
요리가 즐거워지는 #주방잇템 #라인팟내열찜기 만 있으면 나도 쉐프 부럽지 않자나~ :),라인팟내열찜기,positive
천연소재로 빚어 만든 찜기에서 나오는 원적외선으로 인해 맛과 영양 보존이 굿굿~🤘,원적외선,positive
날이 추워서 오뎅탕 끓였는데 열 보존성이 조아서 마지막까지 뜨끈하게 즐길수있어 조타아~,열 보존성,positive
